City,Name of Clinic,Clinic Address,Dr Name ,Contact Number,E-mail Address,Status,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic, Bilekahalli.","Manya Dental,Ground Floor, opposite Mantri Terrace, off Bannerghatta Road, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",Dr. Yamini Korlepara,8197271704,manyadental.bannerghatta@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic, Jayanagar.","Manya Dental, 1st Floor, 9th Main Rd, above Sri Ambati Jewellers, near Apollo Hospital, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011.",Dr. Yamini Korlepara,7624811704,manyadental.jayanagar1@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic, Malleswaram.","Manya Dental, 7, 17th cross, Margosa Rd, Malleshwaram, Bengaluru, Karnataka 560003",Dr. Yamini Korlepara,8050211704,manyadental.malleswaram@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic, Yelenahalli","Manya Dental, Ground Floor, Begur - Koppa Rd, opposite to Rolla Hypermarket, near Prestige Song Of The South & SNN, Yelenahalli, Akshayanagar, Bengaluru, Karnataka 560068",Dr. Yamini Korlepara,9945511704,manyadental.yelenahalli@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Microsmiles Dental Care,"17, Varthur Main Rd, Kumarapalli, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066",Dr Praveen Rajesh,7094058908,microsmilesdental@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Mr.Smile Dental Care,"Mr Smile Dental Care,no 6,3rd main,7th cross,Prakash nagar, Blore 21",Dr.George Mathew K/Dr.Rashmi S Prasad,:8217326776/9036962121/080-41607078,George_mathew@hotmail.com,Completed,,,,,,,,,,,,,
Bangalore,My Dentist Centre for Complete Dental and Implant Care,"#9 23rd Cross Street, 5th main road, Muneswara Block, Bengaluru",Dr Venkatesh R Katta,9886616680,mydentist32@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Narayana Dental center,"Opposite to Bank of Baroda,Lakshmi pura main road,Madanayakana halli,Bangalore 562162",Dr Dayananda,8956191627, adc1232002@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Nimi DENTAL," 107/2, 3RD FLOOR, NISHVASAHA CENTRE, SRI RAM HOSPITAL, OLD MADRAS ROAD, KR PURAM, BANGALORE 560036",Dr. Sandeep G,9742779979 / 080-25619979,nimi.dental@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Quintessence Family Dentistry & Wellness,"# 705, Ist Block, 3rd Cross Rd, near Specialist Hospital, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",Dr. Gaurav Ghosh ,9886878921,qdsblr@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Quintessence Family Dentistry & Wellness,"34, Miller's Tank, Bund Road, Kaveriappa Layout, Opp Bhagwan Mahaveer Jain Hospital. Vasanth Nagar, Bengaluru, Karnataka 560052",Dr. Krithika M Jayaram,9886878921,qdsblr@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Root Canal N Smile Care Centre,"4th cross, first floor, trupthi complex, amarjyothi layout, sanjay nagar, bangalore-94",Dr Shruthi Nagaraja,9113258902,rootcanal.smilecare@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,SAI HEALTH CARE DENTAL SOLUTIONS ,Above mahalaxmi sweets. 1st floor. A block. Sahakar Nagar. Bangalore  560092,DR P B SHIVAKUMAR,9535354585,Sai.dentist@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Samanvee Dental Care,"#20, Matha Pithru Krupa, 1st cross, Avani Shringeri Nagar, Hulimavu, Bannerghatta road,  560076",Dr Kiran DV,9964202410,kirandonthy91@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Shree Speciality dental care,"No 851, 2nd cross, new central jail road, Chennakesava nagar, hosaroad, Ecity post 560100",Dr.B N Rajarathnam,7338607736,rajmds06@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Sphurthi Dental Care,"60/A,1st floor, Above DTDC courier,Dr.Rajkumar road, Rajajinagar 1st Block,Bangalore-560010",Dr.Deepak Kulkarni,9845989131, dr.deepakpkulkarni@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Sri Vignesh Dental Clinic,"No 40 1st main road, Opp Goutham school, Kamalanagar, Bengalurur- 79",Dr Rashmi Shetty,9538269751,rashmishetty751@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Srujan Dental Care Center,"   #24, C J Venkatesh Das Road, Padmanabhanagar, Bengaluru-560070,", Dr Naveen Kumar N,9739462055, drnaveendent@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,The Dentist,": No.1, Neeladri Rd, below fab India, Concorde Silicon Valley, Electronics City Phase 1, Doddathoguru, Bengaluru, Karnataka 560100",Dr Priya,": 8722644370,9686944370,9632140504",thedentistpriya@gmail.com,,,,,,,,,,,,,,
Bangalore,The Dentist,"5 floor. Himagiri silicon layout THOGUR CROSS, Neeladri Rd, near pantaloons, near SNN Raj Neeladri, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",Dr Priya,": 8722644370,9686944370,9632140504",thedentistpriya@gmail.com,,,,,,,,,,,,,,
Bangalore,Vg kamala multi speciality dental clinic,"1st floor, Beside jai hind international school, Hongasandra, Begur main road , Bengaluru 560068",Dr R vinoda,80507 44568,vgkamaladental@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,WHITE DENTAL STUDIO,"#1, SLN emeraalds,  basappa layout,RMV 2nd stage, sanjaynagar main road, bengaluru",DR Shankar /Dr. Soumya Shree ,9620620703,Whitedentalstudiosofficial@gmail.com,Completed,,,,,,,,,,,,,
Chennai,5 Roots Dental Studio,"7, Conron Smith Rd, Gopalapuram, Ch - 86",Dr Farhin Ali,096000 39505,5rootsdentalstudio@gmail.com,Completed,,,,,,,,,,,,,
Chennai,AAKASH DENTAL CLINIC,"plot no 287 16th east street , metha nagar Kundrathur extension,chennai 600069",Dr.S.Aakash Sankar,9566048833,AAKASHDENTALCLINIC2020@GMAIL.COM,Completed,,,,,,,,,,,,,
Chennai,Annamalaiyar Multispeciality Dental Clinic,"Address of clinic(s):23/47,Chellappa street,Perambur Barracks Post,Chennai:600012",Dr.THARANIKUMAR SIVAKUMAR,9885415580,dr.tharanikumar1977@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Aram Multispeciality Dental Clinic,"Old Number M 120, New Nmber 23, 2nd Main Road, Thiruvallur Nagar, Chennai",Dr Aysha Mansoor,9789857678,ayshamansoor7@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Chennai Dental Mission,"72/1,AH Block, 5th Street, Annanagar, Near NAC Jewellers Chennai 40",Dr Praveen/Dr Radha,7358733008,chennaidentalmission@gmail.com,Completed,,,,,,,,,,,,,
Chennai,"Cosmopro Dental cosmetic clinic,","G128 A, Phase 2,Groundfloor,Spencerplaza shopping mall,769 Annasalai,600002",Dr.K. S. Thamizhselvi  ,9884172155,Cosmeticdentist32@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Dental Corner ,"#39,1st floor, Ashok aswin flats, 9th avenue, Ashok Nagar, chennai 600083",Dr Sowjanya,9884812088,sowjanya.gandrajupalli@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Divya's Dental Care,"No 8, new no 19, Vasu Street, Kilpauk, Chennai 600010",Dr Divya,8939565012,divyasdentalcare@gmail.com,Completed,,,,,,,,,,,,,
Chennai,"Dr Harish Dental & Orthodontic Centre,","No.2, SK Complex, Shanthi Avenue, Chitlapakkam Main road, Selaiyur, Chennai - 600073",Dr Harish P,8825638124,drharishorthodental@gmail.com,completed,,,,,,,,,,,,,
Chennai,Dr Shrini dental care ,"No 13 12th west cross street, MKB Nagar Vyasarpadi, Ch-39",Dr Shrinivasan,9444070760,drshrinidentalcare@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Dr Smilez Alwarpet,"1/1 Aditi Apartments, Anandapuram, Ch- 4",Dr Shanmugapriya,073977 70132,drsmilez.alwarpet1@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Dr Smilez Anna Nagar,"M13 8Th Street, Anna Nagar East, Ch - 102",Dr Gomathisree,044-45513301,drsmilez.annanagar@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Dr Smilez Perungudi,"72 Church Road, Perungudi Ch-96",Dr Mahpara,044 42803965,smilezperungudi@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Dr. AMUTHU'S MULTISPECIALITY DENTAL CENTRE ,"2/ 241, Jameels residence, 1st Avenue Main Road, Vettuvankeni, Chennai-600115", Dr.R.Maniamuthu MDS,8248141169, dramuthusdental@gmail.com ,Completed,,,,,,,,,,,,,
Chennai,Dr. Sai's Dentistry,"First floor, F - 2, Plot No 197, 15th street, 3rd Avenue, 'C' Sector, W -  Block, Annanagar West Extension, Chennai 600101",Dr P Sai Krishna,9444418288, rtndrsaikrishna@gmail.com ,completed,,,,,,,,,,,,,
Chennai,Dr.Surbhi's Dental centre and Aesthetics,"The greata ark building, no265/3, shop no 1,first floor , Gandhi st,Vanuvampet,Adambakkam Chennai-600088",Dr Surbhi,9789928509,drsurbhiss07@gmail.com,completed,,,,,,,,,,,,,
Chennai,Dr.swarna Dental care,MKN road alandur chennai,Dr Swarnalatha,8825826290,dr.swarnalatha.bds@gmail.com,completed,,,,,,,,,,,,,
Chennai,Gladys Dental Care,"1st Floor,Alagiri Street,Velachery Rd, near Infant Jesus Church,Jeeva Nagar Extension, Pallikaranai,Chennai, Tamil Nadu 600100",Dr.Kiruba Gladys & Dr.Ahamed Aswer Ali,8056251206,gladysdentalcare@gmail.com,Completed,,,,,,,,,,,,,
Chennai,GUMS TO CROWNS LASER AND IMPLANT DENTAL CLINIC,"Seetha Nagar Main Road,Nungambakkam,Chennai 609934",Dr PRIYAA RANGEETH,9962175834,gums2crownslaserdental@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Hannah’s Dental Care,"No71/2, 200feet inner ring road, Thathankuppam bus stop, Villivakam ",Dr. Judith Christina J,9940238614,hannahsdentalcare@gmail.com,completed,,,,,,,,,,,,,
Chennai,Hanu Nursing Home,"25QC+RGJ, Old-22, 2, Vani Nagar, Jai Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087",Dr Shailaja ,9790350646,bandisailajareddy@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Hari's Dental Care,"GF-A, No 17, 3rd Main Rd, GOCHS Colony,, Besant Nagar, Ch - 90",Dr Hariharan,044 2446 5666,harisdentalcare@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Hari's Dental Care & Implant Centre,"No 2, Cenotoph 2nd Ln, Cooperative Colony, Sri Ram Nagar, Alwarpet, Ch - 18",Dr Hariharan,072000 59130,harisdentalcare@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Hope Dentistry," 1, 3rd cross street, 3 rd main road, Jagannathpuram, Velachery, Chennai 42",Dr Ashwini O R,8939101039,hopedentistrychennai@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Js dental studio,"No 6 Shanthi gardens Paruthipattu,Avadi Chennai 71",Dr Js Narrenthran,9884972912,,Completed,,,,,,,,,,,,,
Chennai,JUST FOR KIDDS LASER DENTAL CLINIC,"Seetha Nagar Main Road,Nungambakkam,Chennai 609934",Dr B N RANGEETH,9444039523,just4kiddslaserdental@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Kannmani Dentalhome, 3/63 5th main road CIT NAGAR CHENNAI 600035,Dr saravanakumar,9444522345,KANNMANIDENTALHOME@GMAIL.COM,completed,,,,,,,,,,,,,
Chennai,KPNR DENTAL CLINIC ,"57 KPNR ILLLU Dr .Raghavan colony,Vadapalani,Chennai -600026",Dr .Krishma ,9445913668, kpnrdentalclinic11@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Laser dental care,"80/37, west mada street, kaladipet, Chennai-600019.",Dr. R Gowtham,7904676107, laserdentalcare96@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Microsmiles Dental Care,"11, Shanthi Colony main road, Annanagar, Chennai, Tamilnadu, India. 600040",Dr Kirthiga M,7094058908,microsmilesdental@gmail.com,completed,,,,,,,,,,,,,
Chennai,Perfect 32 Family Dental Solutions,"178, First Floor, Velachery - Tambaram Main Rd, Pallikaranai, Chennai, Tamil Nadu 600100",Dr veena sekar,9884663971,veena3190@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Perfect 32 Family Dental Solutions," 178, Velachery Tambaram Main Road ",Dr Veena Dharani ,9884663971, perfect32familydentalsolutions@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Radiant Smilez dental," No1 ,Ganesh avenue ,ground floor ,200 ft radial road ,Pallikaranai Chennai 600100",Dr Surbhi,7845777819,radiantsmilezdental@gmail.com,completed,,,,,,,,,,,,,
Chennai,Renuka Smile Care Multispeciality Dental Hospital,Plot No 12 Eb colony Mudichur main road Mudichur chennai 600048,Dr P B Haswant Deva,8610348052,support@renukasmilecare.com,completed,,,,,,,,,,,,,
Chennai,Sai Dental Care,"No 1, Kvk swamy street, Nehru Nagar, Velachery Checkpost, Chennai 42.",Dr. R Indra,9865672925,indrabdsvelan@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Sai Faciomaxillary and dental centre,No 46 Munusamy Salai Kk nagar chennai -600078 next to sbi and Pondicherry guest house,Dr Sumedha Nanda kumar/Dr Nanda kumar,9500013903,drnanda@saidentalcenter.com,Completed,,,,,,,,,,,,,
Chennai,Smilemakers multi speciality dental clinic and implant centre,"20/33, Anna salai , Ullagaram , chennai 600061",Dr Veeraragavan,9344851683,Smilemakerspallikaranai@gmail.com,completed,,,,,,,,,,,,,
Chennai,Smilemakers multi speciality dental clinic and implant centre,"14/15, Amma Complex, Selaiyur, Tambaram East, Opp to bharath university ,chennai-73",Dr Venkatesh,8668021037,Smilemakersselaiyur@gmail.com,completed,,,,,,,,,,,,,
Chennai,Smilemakers multi speciality dental clinic and implant centre,"Address: No.231/No.231/1A, Plot A4/F1, Nookampalayam Main Road,perumbakam ,chennai-100",Dr Lavanya,9361034711,smilemakersperumbakkam@gmail.com,completed,,,,,,,,,,,,,
Chennai,Smilemakers multi speciality dental clinic and implant centre,"No3/8, Velachery-Tambaram main road, Pallikaranai,Near Jeyachandran",Dr Veeraragavan,7010129524,Smilemakerspallikaranai@gmail.com,completed,,,,,,,,,,,,,
Chennai,The Tooth Doctor Advanced Dental Care Centre,"9/3, 1st Street, Karpagambal Nagar, Thambusamy Nagar, Thiruverkadu, Ch-77",Dr Sandhya,6369090441,toothdoctor.in@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Tooth Station Dental Clinic,"B2 Srinivasapuram, Thiruvanmiyur, Chennai - 41",Dr.Thomas.P Mathew,9840112278,doctorthomas@gmail.com,Completed,,,,,,,,,,,,,
Chennai,Vijaya Dental Rehabilitation Centre,"Bharani street, bharathi Nagar, taramani, Ch-113",Dr Sathyaseelan,073585 06169,sathyavijay76@gmail.com,Completed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
